Requirement Number,Requirement,FR/NFR Category,System Class
1,The system should allow users to set up custom notifications for tram arrival at specific stops,,
2,The system should provide an estimated time of arrival for trams at each stop based on real-time tracking,,
3,The system should notify passengers of any significant delays or changes in tram routes via SMS or push notifications,,
4,The system should provide alternative route suggestions to passengers in the event of tram disruptions or diversions,,
5,"The system should integrate with popular mobile payment platforms, such as Apple Pay and Google Pay",,
6,The system should provide real-time fare balance information to passengers when they tap their smart cards or make mobile payments,,
7,The system should display the availability of seats in each tram on a mobile app or electronic displays at tram stops,,
8,The system should use crowd density data to suggest less crowded trams to passengers during peak hours,,
9,The system should provide real-time traffic updates to tram operators and suggest alternative routes to avoid congestion,,
10,The system should adjust tram departure times to align with traffic patterns and minimize wait times for passengers,,
11,The system should integrate with the city's traffic management system to dynamically adjust traffic signal timings for trams,,
12,The system should provide tram operators with a visual indication of upcoming traffic signal changes to help them plan their approach,,
13,The system should analyze sensor data to detect anomalies in tram performance and automatically generate maintenance alerts,,
14,The system should track the usage and wear of tram components to schedule preventive maintenance tasks proactively,,
15,The system should automatically notify emergency services and provide them with the tram's real-time location when a panic button is pressed.,,
16,The system should have a two-way communication feature between passengers and emergency services for immediate assistance,,
17,The system should employ machine learning algorithms to analyze historical sensor data and predict the probability of component failures,,
18,The system should generate automated maintenance recommendations based on sensor data analysis to improve the overall reliability of trams,,
19,The system should automatically adjust tram lighting based on ambient lighting conditions and passenger occupancy,,
20,The system should regulate the HVAC system in trams based on passenger load and external temperature to maximize energy efficiency,,
21,The system should provide a feature for attaching photos or videos to incident reports for better documentation and analysis,,
22,The system should automatically notify maintenance teams and relevant stakeholders when an incident is reported to ensure prompt response,,
23,The system should generate real-time alerts to tram operators and supervisors when drivers exceed predefined speed limits or violate traffic rules,,
24,The system should provide regular performance reports to drivers to encourage safe driving practices and identify areas for improvement,,
25,The system should support multiple languages for automated audio announcements to cater to a diverse passenger base,,
26,The system should allow tram operators to customize audio announcements for special events or temporary route changes,,
27,The system should enable live video streaming from tram cameras to a centralized control center for real-time monitoring,,
28,The system should have video analytics capabilities to detect and alert on potential security threats or suspicious activities in trams,,
29,"The system should provide a unified mobile app or ticketing system that allows passengers to seamlessly transfer between trams, buses, and trains with a single ticket",,
30,The system should synchronize arrival and departure times of trams with other transportation modes to minimize transfer wait times for passengers,,
31,The system should incorporate real-time traffic data from multiple sources to provide accurate and timely congestion alerts to tram operators,,
32,The system should analyze historical traffic patterns and suggest alternative routes to tram operators based on predicted congestion levels,,
33,"The system should provide real-time passenger occupancy data to tram operators, allowing them to make informed decisions on dispatching additional trams during peak hours",,
34,"The system should generate passenger flow reports and statistics for planning purposes, such as optimizing tram frequencies and determining service adjustments",,
35,The system should integrate with weather data providers to deliver accurate and localized weather forecasts to tram operators,,
36,"The system should automatically adjust tram schedules or route planning based on severe weather conditions, ensuring passenger safety and minimizing disruptions",,
37,"The system should automatically activate on-board systems, such as audio announcements or cabin lighting, when trams enter specific zones like tourist areas or major landmarks",,
38,"The system should notify tram operators and authorities when trams deviate from their designated routes or enter restricted areas, helping to ensure compliance and security",,
39,"The system should provide a dedicated communication channel for real-time collaboration and information sharing between tram operators, traffic authorities, and emergency services",,
40,"The system should have a centralized incident management dashboard that displays the status of incidents, and ongoing actions",,
41,The system should have the ability to detect tampered or counterfeit tickets and alert tram operators for further inspection,,
42,The system should generate real-time statistics and reports on fare evasion rates to aid in identifying patterns and implementing targeted enforcement measures,,
43,The system should provide a two-way messaging system with read receipts to ensure drivers receive and acknowledge important messages from control centers,,
44,"The system should allow control centers to remotely view tram status information, such as location and performance, to provide accurate instructions and support to drivers",,
45,The system should incorporate historical ridership data and predictive analytics to forecast demand and optimize tram frequencies during different times of the day,,
46,The system should integrate with real-time traffic data sources to dynamically adjust tram schedules and routes to minimize travel time and delays,,
47,The system should exchange data with traffic management systems to receive real-time traffic updates and adjust tram operations accordingly,,
48,The system should enable coordinated signal prioritization with traffic management systems to ensure smooth traffic flow and minimize tram delays,,
49,"The system should provide data visualization tools and reports to enable in-depth analysis of performance metrics, such as on-time performance and passenger satisfaction",,
50,The system should leverage machine learning algorithms to identify patterns and trends in historical data to facilitate proactive planning and continuous improvement of tram operations,,
51,The system should scale horizontally to accommodate increasing tram fleets and passenger volumes without degradation in system responsiveness,,
52,The system should employ distributed computing and load balancing techniques to distribute data processing and ensure efficient utilization of system resources,,
53,The system should implement redundancy and failover mechanisms to minimize service disruptions in the event of hardware or network failures,,
54,The system should have automated monitoring and alerting capabilities to proactively identify potential issues and facilitate quick resolution,,
